Region,Country,State,City,Month,Day,Year,AvgTemperature
Europe,Italy,,Milan,2,6,2010,35.3
Europe,Italy,,Milan,2,7,2010,33.9
Europe,Italy,,Milan,2,8,2010,30.8
Europe,Italy,,Milan,2,9,2010,33.8
Europe,Italy,,Milan,2,10,2010,37.2
Europe,Italy,,Milan,2,11,2010,36.1
Europe,Italy,,Milan,2,12,2010,36.5
Europe,Italy,,Milan,2,13,2010,35.0
Europe,Italy,,Milan,2,14,2010,35.1
Europe,Italy,,Milan,2,15,2010,32.0
Europe,Italy,,Milan,2,16,2010,36.6
Europe,Italy,,Milan,2,17,2010,38.9
Europe,Italy,,Milan,2,18,2010,42.4
Europe,Italy,,Milan,2,19,2010,42.5
Europe,Italy,,Milan,2,20,2010,44.6
Europe,Italy,,Milan,2,21,2010,38.2
Europe,Italy,,Milan,2,22,2010,38.3
Europe,Italy,,Milan,2,23,2010,41.5
Europe,Italy,,Milan,2,24,2010,41.7
Europe,Italy,,Milan,2,25,2010,44.7
Europe,Italy,,Milan,2,26,2010,46.3
Europe,Italy,,Milan,2,27,2010,47.5
Europe,Italy,,Milan,2,28,2010,42.5
Europe,Italy,,Milan,3,1,2010,42.0
Europe,Italy,,Milan,3,2,2010,46.1
Europe,Italy,,Milan,3,3,2010,43.0
Europe,Italy,,Milan,3,4,2010,43.2
Europe,Italy,,Milan,3,5,2010,41.1
Europe,Italy,,Milan,3,6,2010,36.0
Europe,Italy,,Milan,3,7,2010,37.5
Europe,Italy,,Milan,3,8,2010,35.8
Europe,Italy,,Milan,3,9,2010,32.7
Europe,Italy,,Milan,3,10,2010,32.0
Europe,Italy,,Milan,3,11,2010,34.1
Europe,Italy,,Milan,3,12,2010,37.4
Europe,Italy,,Milan,3,13,2010,38.9
Europe,Italy,,Milan,3,14,2010,42.6
Europe,Italy,,Milan,3,15,2010,51.3
Europe,Italy,,Milan,3,16,2010,47.9
Europe,Italy,,Milan,3,17,2010,45.8
Europe,Italy,,Milan,3,18,2010,48.0
Europe,Italy,,Milan,3,19,2010,49.2
Europe,Italy,,Milan,3,20,2010,49.3
Europe,Italy,,Milan,3,21,2010,50.1
Europe,Italy,,Milan,3,22,2010,51.1
Europe,Italy,,Milan,3,23,2010,53.5
Europe,Italy,,Milan,3,24,2010,56.2
Europe,Italy,,Milan,3,25,2010,52.2
Europe,Italy,,Milan,3,26,2010,50.4
Europe,Italy,,Milan,3,27,2010,48.6
Europe,Italy,,Milan,3,28,2010,53.1
Europe,Italy,,Milan,3,29,2010,50.8
Europe,Italy,,Milan,3,30,2010,48.7
Europe,Italy,,Milan,3,31,2010,49.6
Europe,Italy,,Milan,4,1,2010,45.7
Europe,Italy,,Milan,4,2,2010,44.0
Europe,Italy,,Milan,4,3,2010,43.9
Europe,Italy,,Milan,4,4,2010,42.6
Europe,Italy,,Milan,4,5,2010,50.7
Europe,Italy,,Milan,4,6,2010,51.1
Europe,Italy,,Milan,4,7,2010,53.2
Europe,Italy,,Milan,4,8,2010,56.9
Europe,Italy,,Milan,4,9,2010,56.9
Europe,Italy,,Milan,4,10,2010,60.6
Europe,Italy,,Milan,4,11,2010,47.9
Europe,Italy,,Milan,4,12,2010,46.9
Europe,Italy,,Milan,4,13,2010,48.6
Europe,Italy,,Milan,4,14,2010,49.8
Europe,Italy,,Milan,4,15,2010,51.3
Europe,Italy,,Milan,4,16,2010,51.8
Europe,Italy,,Milan,4,17,2010,52.4
Europe,Italy,,Milan,4,18,2010,50.0
